primary_category,secondary_category,review_year,review_month,avg_rating,total_reviews,avg_price,pct_recommended
Skincare,Eye Care,2014,1,4.03,102,51.69,
Skincare,Eye Care,2014,2,3.94,89,49.36,
Skincare,Eye Care,2014,3,3.77,75,49.15,
Skincare,Eye Care,2014,4,3.76,102,52.08,
Skincare,Eye Care,2014,5,4.19,81,51.85,
Skincare,Eye Care,2014,6,3.8,64,54.0,
Skincare,Eye Care,2014,7,4.0,62,54.39,
Skincare,Eye Care,2014,8,4.08,73,50.15,
Skincare,Eye Care,2014,9,4.17,47,56.36,
Skincare,Eye Care,2014,10,3.67,45,59.71,
Skincare,Eye Care,2014,11,4.2,75,51.64,
Skincare,Eye Care,2014,12,4.1,94,55.46,
Skincare,Eye Care,2015,1,3.96,117,51.41,
Skincare,Eye Care,2015,2,3.95,76,56.64,
Skincare,Eye Care,2015,3,4.14,74,54.69,
Skincare,Eye Care,2015,4,3.71,84,54.02,
Skincare,Eye Care,2015,5,3.87,79,53.73,
Skincare,Eye Care,2015,6,4.08,50,51.02,
Skincare,Eye Care,2015,7,3.87,47,51.53,
Skincare,Eye Care,2015,8,4.16,45,54.91,
Skincare,Eye Care,2015,9,4.02,46,54.33,
Skincare,Eye Care,2015,10,4.02,42,58.19,
Skincare,Eye Care,2015,11,4.03,96,56.69,
Skincare,Eye Care,2015,12,3.75,111,56.24,
Skincare,Eye Care,2016,1,3.9,112,48.83,
Skincare,Eye Care,2016,2,3.69,121,47.11,
Skincare,Eye Care,2016,3,3.71,156,51.58,
Skincare,Eye Care,2016,4,3.74,162,51.77,
Skincare,Eye Care,2016,5,3.81,114,47.15,
Skincare,Eye Care,2016,6,3.85,72,53.65,
Skincare,Eye Care,2016,7,3.92,84,53.61,
Skincare,Eye Care,2016,8,3.82,105,50.01,
Skincare,Eye Care,2016,9,3.99,119,49.63,
Skincare,Eye Care,2016,10,3.66,134,50.91,
Skincare,Eye Care,2016,11,3.92,153,52.18,
Skincare,Eye Care,2016,12,3.86,159,52.78,
Skincare,Eye Care,2017,1,4.02,171,49.86,
Skincare,Eye Care,2017,2,3.89,148,51.36,
Skincare,Eye Care,2017,3,3.92,90,62.81,
Skincare,Eye Care,2017,4,3.78,104,57.16,
Skincare,Eye Care,2017,5,3.98,92,55.12,
Skincare,Eye Care,2017,6,3.87,121,50.26,
Skincare,Eye Care,2017,7,3.91,142,51.68,
Skincare,Eye Care,2017,8,4.21,150,51.95,0.71
Skincare,Eye Care,2017,9,4.11,243,53.08,0.78
Skincare,Eye Care,2017,10,4.13,142,51.4,0.8
Skincare,Eye Care,2017,11,4.39,399,51.24,0.86
Skincare,Eye Care,2017,12,4.32,707,52.09,0.85
Skincare,Eye Care,2018,1,4.02,618,51.5,0.76
Skincare,Eye Care,2018,2,3.9,356,50.3,0.72
Skincare,Eye Care,2018,3,4.09,432,50.81,0.76
Skincare,Eye Care,2018,4,3.98,425,52.57,0.72
Skincare,Eye Care,2018,5,4.03,350,55.3,0.76
Skincare,Eye Care,2018,6,4.04,262,52.66,0.75
Skincare,Eye Care,2018,7,4.16,519,49.06,0.82
Skincare,Eye Care,2018,8,4.32,524,51.35,0.86
Skincare,Eye Care,2018,9,3.92,305,52.75,0.72
Skincare,Eye Care,2018,10,3.88,289,51.31,0.72
Skincare,Eye Care,2018,11,3.89,281,53.61,0.7
Skincare,Eye Care,2018,12,3.83,268,51.42,0.71
Skincare,Eye Care,2019,1,3.74,346,52.96,0.68
Skincare,Eye Care,2019,2,3.69,354,51.0,0.66
Skincare,Eye Care,2019,3,3.83,355,48.32,0.68
Skincare,Eye Care,2019,4,3.96,363,49.11,0.74
Skincare,Eye Care,2019,5,4.07,583,47.58,0.78
Skincare,Eye Care,2019,6,4.06,409,42.83,0.78
Skincare,Eye Care,2019,7,4.1,469,47.96,0.79
Skincare,Eye Care,2019,8,4.41,1878,60.03,0.89
Skincare,Eye Care,2019,9,4.17,1462,55.91,0.84
Skincare,Eye Care,2019,10,3.96,751,55.31,0.75
Skincare,Eye Care,2019,11,3.51,359,50.47,0.6
Skincare,Eye Care,2019,12,4.24,1556,56.54,0.85
Skincare,Eye Care,2020,1,4.28,2598,55.09,0.87
Skincare,Eye Care,2020,2,3.87,772,59.53,0.71
Skincare,Eye Care,2020,3,4.24,1790,47.69,0.86
Skincare,Eye Care,2020,4,3.98,1720,48.38,0.77
Skincare,Eye Care,2020,5,4.06,1057,86.89,0.76
Skincare,Eye Care,2020,6,4.09,973,49.6,0.79
Skincare,Eye Care,2020,7,4.01,860,48.71,0.77
Skincare,Eye Care,2020,8,4.05,932,53.91,0.77
Skincare,Eye Care,2020,9,3.89,531,54.71,0.71
Skincare,Eye Care,2020,10,3.85,612,57.5,0.71
Skincare,Eye Care,2020,11,4.19,696,52.31,0.81
Skincare,Eye Care,2020,12,4.01,646,51.4,0.75
Skincare,Eye Care,2021,1,4.25,1552,56.06,0.83
Skincare,Eye Care,2021,2,4.09,1011,53.21,0.78
Skincare,Eye Care,2021,3,4.38,2042,49.74,0.87
Skincare,Eye Care,2021,4,4.14,1191,46.43,0.8
Skincare,Eye Care,2021,5,4.3,1473,80.88,0.84
Skincare,Eye Care,2021,6,4.42,2042,84.54,0.88
Skincare,Eye Care,2021,7,4.31,972,58.59,0.85
Skincare,Eye Care,2021,8,4.31,741,57.01,0.84
Skincare,Eye Care,2021,9,4.63,3011,64.79,0.94
Skincare,Eye Care,2021,10,4.25,1279,46.44,0.84
Skincare,Eye Care,2021,11,3.83,477,50.15,0.7
Skincare,Eye Care,2021,12,4.0,691,48.38,0.76
Skincare,Eye Care,2022,1,4.32,2490,48.8,0.87
Skincare,Eye Care,2022,2,4.1,874,51.5,0.79
Skincare,Eye Care,2022,3,4.18,1412,63.95,0.82
Skincare,Eye Care,2022,4,4.19,1547,61.17,0.83
Skincare,Eye Care,2022,5,4.14,797,60.9,0.82
Skincare,Eye Care,2022,6,4.37,1770,64.3,0.89
